City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Hilo,US,78.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
2,Kapaa,US,77.0,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
5,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
6,Hobart,AU,81.0,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
9,Hithadhoo,MV,83.28,overcast clouds,-0.6,73.0833,Scoop Guest House
12,Palasa,IN,80.19,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
19,Arraial Do Cabo,BR,75.58,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
20,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
21,Kulhudhuffushi,MV,82.47,broken clouds,6.6221,73.07,Haajy Guest House 1
25,Bengkulu,ID,88.21,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
28,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
38,Biak,ID,81.21,overcast clouds,-0.9131,122.8766,Penginapan Kim
43,Kudahuvadhoo,MV,82.33,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
50,Loikaw,MM,79.7,few clouds,19.6742,97.2094,Myat Nan Taw Hotel
51,Butaritari,KI,81.25,light rain,3.0707,172.7902,Isles Sunset Lodge
54,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
56,Sosua,DO,75.2,scattered clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
58,Rikitea,PF,78.85,overcast clouds,-23.1203,-134.9692,Pension Maro'i
62,Tumut,AU,78.8,clear sky,-35.3,148.2167,Amaroo Motel
63,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
64,Sao Joao Da Barra,BR,76.06,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
66,Alice Springs,AU,87.8,clear sky,-23.7,133.8833,Desert Palms Alice Springs
