City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Lavrentiya,RU,65.5833,-171.0,-13.34,84,0,4.85,clear sky
1,Hilo,US,19.7297,-155.09,78.8,61,20,8.05,few clouds
2,Kapaa,US,22.0752,-159.319,77.0,69,1,2.82,clear sky
3,Shimoda,JP,34.6667,138.95,41.0,52,75,16.11,broken clouds
4,Dukat,RU,62.55,155.55,-15.2,82,1,1.21,clear sky
5,Mahebourg,MU,-20.4081,57.7,77.0,78,40,9.22,scattered clouds
6,Hobart,AU,-42.8794,147.3294,81.0,56,20,17.27,few clouds
7,Mataura,NZ,-46.1927,168.8643,62.01,67,88,11.01,overcast clouds
8,Kirovskaya,RU,46.9748,40.0402,46.4,93,75,22.37,broken clouds
9,Hithadhoo,MV,-0.6,73.0833,83.28,79,99,16.62,overcast clouds
10,Tougue,GN,11.4667,-11.6,66.61,27,0,0.72,clear sky
11,Luena,AO,-11.7833,19.9167,61.81,97,100,5.5,light rain
12,Palasa,IN,18.7667,84.4167,80.19,43,4,2.17,clear sky
13,Busselton,AU,-33.65,115.3333,102.0,18,4,5.99,clear sky
14,Bluff,NZ,-46.6,168.3333,62.01,67,71,11.01,broken clouds
15,Avera,US,33.194,-82.5271,42.8,94,90,6.91,overcast clouds
16,Narsaq,GL,60.9167,-46.05,35.6,93,90,2.3,drizzle
17,Bethel,US,41.3712,-73.414,28.4,69,1,10.36,clear sky
18,Guymon,US,36.6828,-101.4816,30.2,80,1,3.44,clear sky
19,Arraial Do Cabo,BR,-22.9661,-42.0278,75.58,92,68,12.77,broken clouds
20,Georgetown,MY,5.4112,100.3354,86.0,74,20,6.91,few clouds
21,Kulhudhuffushi,MV,6.6221,73.07,82.47,74,73,8.66,broken clouds
22,Huangnihe,CN,43.5583,128.0239,-9.92,80,90,10.65,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,50.0,76,75,6.91,broken clouds
24,Punta Arenas,CL,-53.15,-70.9167,50.0,71,90,13.8,light rain
25,Bengkulu,ID,-3.8004,102.2655,88.21,54,81,4.12,moderate rain
26,Yellowknife,CA,62.456,-114.3525,-2.99,77,20,2.06,few clouds
27,Sitka,US,57.0531,-135.33,44.6,70,90,13.8,light rain
28,Vaini,TO,-21.2,-175.2,86.0,79,75,12.66,broken clouds
29,Qaanaaq,GL,77.484,-69.3632,-10.68,78,100,12.01,overcast clouds
30,Gat,IL,31.61,34.7642,61.0,47,0,1.99,clear sky
31,Malakal,SS,9.5334,31.6605,72.63,38,0,6.44,clear sky
32,Saldanha,ZA,-33.0117,17.9442,60.8,82,0,4.61,clear sky
33,Cape Town,ZA,-33.9258,18.4232,66.99,77,0,14.97,clear sky
34,Albany,US,42.6001,-73.9662,26.01,75,9,1.99,clear sky
35,Hearst,CA,49.6835,-83.6665,5.0,85,28,3.44,scattered clouds
36,Vilyuysk,RU,63.7553,121.6247,-23.6,87,100,3.42,overcast clouds
37,Cooma,AU,-36.2333,149.1333,68.0,45,40,6.91,scattered clouds
38,Biak,ID,-0.9131,122.8766,81.21,78,100,3.15,overcast clouds
39,Shingu,JP,33.7333,135.9833,33.8,37,75,19.57,broken clouds
40,Port Alfred,ZA,-33.5906,26.891,70.0,91,57,8.01,broken clouds
41,La Ronge,CA,55.1001,-105.2842,24.8,74,24,2.3,few clouds
42,Clyde River,CA,70.4692,-68.5914,3.2,60,20,24.16,haze
43,Kudahuvadhoo,MV,2.6708,72.8944,82.33,77,98,9.82,overcast clouds
44,Seoul,KR,37.5683,126.9778,10.4,40,0,12.66,clear sky
45,Geraldton,AU,-28.7667,114.6,105.8,11,50,9.22,scattered clouds
46,Kodiak,US,57.79,-152.4072,37.4,93,90,5.75,moderate rain
47,Penzance,GB,50.1186,-5.5371,37.0,93,40,5.75,scattered clouds
